HeelAngle_deg,RestoringMoment_kNm,GZ_m,DisplacedVolume_m3,CB_X_m,CB_Y_m,CB_Z_m
0,1.32019316253064e-11,8.31094474556017e-05,1.1580014825655e-06,0.0226324220508484,0.0226438153033264,0.00304566433892469
2,-3.43611302114565e-10,-0.00216311872146805,1.91082858129136e-06,0.0200828271911994,0.0202093462784528,0.00431072955743087
4,-3.41853431882047e-10,-0.00215205249056566,2.07749101052133e-06,0.0215044619110752,0.0200049142510168,0.00475097090414662
6,-4.31573073909532e-10,-0.00271685998135174,1.90598773781474e-06,0.0218259464840729,0.0191976136509368,0.00485750859638968
8,-7.77539813481664e-10,-0.00489480676822496,1.84666936184414e-06,0.0217849322696046,0.0167504743443146,0.00488231309829167
10,-7.41850297924391e-10,-0.00467013237949859,1.94285436515184e-06,0.022713150354364,0.0166795847724563,0.0052655070981154
12,-6.98783963543431e-10,-0.00439901907911769,2.03937670461295e-06,0.0235540797775453,0.0166291227705747,0.0056745506507123
14,-2.12245025322228e-09,-0.0133613529295348,6.42756196491787e-07,0.0175538120797403,0.00731959406618815,0.00539850192167085
16,-2.76051345646128e-09,-0.0173781197003379,2.35096431078865e-07,0.00805533062468412,0.00293043589315708,0.0050701252994267
18,-2.74532424662506e-09,-0.017282499841623,2.40457292874695e-07,0.00867260221720243,0.0026289215029465,0.00515747634369226
20,-2.72545125419015e-09,-0.017157394404977,2.45057551066589e-07,0.0092514953760947,0.00233263369087794,0.00523097513510807
22,-2.70103766546117e-09,-0.0170037047838472,2.48874793659055e-07,0.0097967696306066,0.00204118446626703,0.00529120461082948
24,-2.67132780299009e-09,-0.0168166738005008,2.52643390997175e-07,0.0102839850979614,0.00175987333996179,0.00533980015870285
26,-2.62003817137651e-09,-0.01649379279607,2.70720981559132e-07,0.010184481743598,0.00159177957354807,0.0054026091987055
28,-3.16427845609124e-09,-0.0199199209286395,1.2396479589326e-07,0.0224292842683609,-0.00234735781392945,0.00441473796429463
30,-3.10363327312526e-09,-0.0195381443984925,1.29495533100688e-07,0.0224292842683609,-0.0025,0.00433012701892219
